City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
191,atafu village,-8.5421,-172.5159,301.55,73,17,5.35,TK,1732929074
192,kirtland,36.7342,-108.3598,273.76,51,0,2.57,US,1732929075
193,boyolangu,-8.1181,111.8935,301.88,73,70,3.03,ID,1732929076
194,sao lourenco do oeste,-26.3592,-52.8511,293.23,89,100,1.05,BR,1732928816
195,penonome,8.5167,-80.3667,297.04,92,100,0.45,PA,1732929079
196,salalah,17.0151,54.0924,300.2,54,0,6.69,OM,1732929081
197,cascais,38.6979,-9.4215,291.51,85,100,1.34,PT,1732929082
198,samana,19.2056,-69.3369,297.12,92,78,1.7,DO,1732929083
199,weno,7.4515,151.8468,304.12,84,40,5.14,FM,1732929085
200,shakawe,-18.3667,21.85,297.57,36,61,2.7,BW,1732929086
201,viljandi,58.3639,25.59,276.99,86,100,4.39,EE,1732928893
202,cherkessk,44.2233,42.0578,273.67,92,34,1.39,RU,1732929088
203,pontecorvo,41.4616,13.6667,282.57,81,3,1.99,IT,1732929089
204,hithadhoo,-0.6,73.0833,300.86,82,100,10.36,MV,1732929090
205,tongliao,43.6125,122.2653,272.31,78,7,4.02,CN,1732929091
206,oltinko'l,40.8011,72.1634,281.6,85,100,1.81,UZ,1732929094
207,zadonsk,52.3904,38.9261,272.24,85,87,2.56,RU,1732929095
208,parvatipuram,18.7833,83.4333,293.91,89,100,1.97,IN,1732929096
209,ladario,-19.0047,-57.6017,301.8,62,96,0.95,BR,1732928854
210,queenstown,-31.8976,26.8753,283.32,91,25,0.62,ZA,1732929098
211,urucara,-2.5364,-57.76,301.45,45,0,0.88,BR,1732928820
212,port arthur,38.8,121.2667,283.27,60,0,7.09,CN,1732929100
213,tolanaro,-25.0319,46.9987,296.19,83,75,2.57,MG,1732929101
214,qingyang,37.4958,121.2581,280.46,55,0,3.52,CN,1732929102
215,nuuk,64.1835,-51.7216,270.49,93,100,6.17,GL,1732929103
216,puerto real,36.5282,-6.1901,285.22,74,22,2.84,ES,1732929105
217,aliwal north,-30.6937,26.7114,285.6,37,0,0.82,ZA,1732929106
218,petauke,-14.2426,31.3253,292.92,79,100,4.58,ZM,1732929107
219,pukchil-lodongjagu,40.2019,125.7483,271.37,58,88,0.81,KP,1732929108
220,utrik,11.2278,169.8474,301.16,77,100,10.45,MH,1732929109
221,bardai,11.65,7.2333,288.68,29,4,4.31,NG,1732929110
222,wladyslawowo,54.7909,18.4009,277.56,89,100,4.72,PL,1732929111
223,letterkenny,54.95,-7.7333,284.56,89,100,4.41,IE,1732929049
224,lerwick,60.1545,-1.1494,282.99,95,100,9.84,GB,1732929113
225,inari,68.906,27.0288,266.13,80,15,6.7,FI,1732929115
226,karuzi,-3.125,30.1333,288.27,94,48,0.99,BI,1732929116
227,oranjemund,-28.55,16.4333,288.1,95,1,5.22,NA,1732929117
228,kone,-21.0595,164.8658,305.66,39,2,2.88,NC,1732929118
229,sar-e pul,35.8333,66.1667,278.33,93,67,1.74,AF,1732929119
230,zonguldak,41.25,31.8333,276.45,84,46,2.21,TR,1732929121
231,wynyard,-41.0,145.7167,291.59,76,100,9.39,AU,1732929122
232,fortuna,40.5982,-124.1573,282.0,80,0,3.09,US,1732928826
233,la ronge,55.1001,-105.2842,252.29,77,100,3.6,CA,1732929125
234,metlili chaamba,32.2667,3.6333,287.68,42,0,2.9,DZ,1732929126
235,flying fish cove,-10.4217,105.6791,300.71,80,29,1.87,CX,1732928970
236,colchani,-20.3,-66.9333,288.75,44,92,1.49,BO,1732929128
237,smithers,54.7804,-127.1743,270.33,93,100,2.57,CA,1732929129
238,talnakh,69.4865,88.3972,256.17,96,100,5.06,RU,1732929130
239,college,64.8569,-147.8028,248.12,65,75,0.0,US,1732929131
240,shalkar,47.8288,59.6258,271.74,57,100,2.78,KZ,1732929132
241,kavaratti,10.5669,72.642,301.09,61,100,6.66,IN,1732929133
242,high springs,29.8269,-82.5968,283.22,93,91,0.45,US,1732929134
243,patnanungan,14.7833,122.1833,299.54,83,100,10.64,PH,1732929136
244,luwuk,-0.9516,122.7875,301.91,68,98,1.24,ID,1732929137
245,aykhal,66.0,111.5,248.56,98,100,5.99,RU,1732929138
246,riberalta,-10.9833,-66.1,297.9,85,58,0.85,BO,1732929139
247,krong kep,10.4833,104.3167,295.86,69,19,8.63,KH,1732929140
248,mudanjiang,44.5833,129.6,265.07,80,11,3.05,CN,1732929006
249,olinda,-8.0089,-34.8553,300.0,74,40,3.6,BR,1732928963
250,mildura,-34.2,142.15,298.19,67,23,3.12,AU,1732929143
251,bahir dar,11.5936,37.3908,289.44,81,91,1.64,ET,1732929144
252,salinas,36.6777,-121.6555,289.44,62,0,4.12,US,1732928898
253,usinsk,65.9939,57.5281,267.56,96,100,8.17,RU,1732929147
254,penzance,50.1186,-5.5371,287.53,96,86,7.22,GB,1732929148
255,placido de castro,-10.3353,-67.1856,296.84,86,83,1.22,BR,1732929008
256,leiyang,26.4024,112.8591,286.91,41,76,0.96,CN,1732929150
257,labrador city,52.9463,-66.9114,268.81,93,100,6.26,CA,1732929151
258,sao gabriel,-30.3364,-54.32,295.72,79,0,3.71,BR,1732929152
259,magadan,59.5667,150.8,271.28,80,98,9.32,RU,1732929153
260,paracuru,-3.41,-39.0306,299.72,79,100,5.4,BR,1732929154
261,jayapura,-2.5333,140.7,303.81,67,100,1.32,ID,1732929155
262,armacao de buzios,-22.7469,-41.8817,295.99,96,98,2.89,BR,1732929156
263,yelizovo,53.1873,158.3805,274.23,93,100,2.0,RU,1732929158
264,rio grande,-32.035,-52.0986,293.07,85,71,3.43,BR,1732929060
265,crane,31.3974,-102.3501,282.7,28,100,4.06,US,1732929160
266,kyzylorda,44.8528,65.5092,278.92,80,100,4.63,KZ,1732928932
